,prePenaltyPlayResult,playResult,foulName1,Binary Completion,down,yardsToGo,pff_passCoverageType,offenseFormation,offenseFormation,yardlineNumber,quarter,gameClock,num RB,num TE,num WR,num DL,num LB,num DB,defendersInBox,2-Man,Bracket,Cover-0,Cover-1,Cover-2,Cover-3,Cover-6,Goal Line,Prevent,Quarters,Red Zone,possessionTeam,offenseFormation,pff_passCoverageType,absoluteYardlineNumber,homeTeamAbbr,visitorTeamAbbr,preSnapVisitorScore,preSnapHomeScore,off_score,def_score,score_diff,gameClock_seconds,secondsLeftInHalf
1736,8,8,,1,2,10,Zone,SHOTGUN,SHOTGUN,11,2,09:57,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,21.0,TB,ATL,7,14,7,14,-7,597,597
1737,24,24,,1,3,7,Zone,SHOTGUN,SHOTGUN,14,2,08:53,1,1,3,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,24.0,TB,ATL,7,14,7,14,-7,533,533
1738,7,7,,1,2,10,Zone,I_FORM,I_FORM,38,2,07:43,1,2,2,4,3,4,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,I_FORM,Zone,48.0,TB,ATL,7,14,7,14,-7,463,463
1739,6,6,,1,3,3,Zone,SHOTGUN,SHOTGUN,45,2,07:00,1,2,2,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,55.0,TB,ATL,7,14,7,14,-7,420,420
1740,1,1,,1,2,10,Zone,SHOTGUN,SHOTGUN,49,2,05:49,1,3,1,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,61.0,TB,ATL,7,14,7,14,-7,349,349
1742,26,26,,1,2,6,Zone,SHOTGUN,SHOTGUN,19,2,03:41,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,91.0,TB,ATL,7,14,14,14,0,221,221
1743,17,17,,1,2,8,Zone,I_FORM,I_FORM,47,2,02:20,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,I_FORM,Zone,63.0,TB,ATL,7,14,14,14,0,140,140
1744,21,21,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,36,2,02:00,1,3,1,3,4,4,7.0,0,0,0,0,1,0,0,0,0,0,0,TB,SINGLEBACK,Zone,46.0,TB,ATL,7,14,14,14,0,120,120
1745,14,14,,1,1,10,Zone,SHOTGUN,SHOTGUN,35,2,00:40,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,45.0,TB,ATL,7,21,7,21,-14,40,40
1746,0,0,,0,1,5,Zone,SHOTGUN,SHOTGUN,18,2,00:10,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,92.0,TB,ATL,7,21,7,21,-14,10,10
1747,0,0,,0,2,2,Zone,SINGLEBACK,SINGLEBACK,20,3,14:26,1,2,2,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,90.0,TB,ATL,10,21,10,21,-11,866,1766
1748,0,0,,0,1,10,Man,SHOTGUN,SHOTGUN,18,3,14:19,1,1,3,2,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,92.0,TB,ATL,10,21,21,21,0,859,1759
1749,8,8,,1,2,10,Zone,SHOTGUN,SHOTGUN,18,3,14:15,1,2,2,3,4,4,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,92.0,TB,ATL,10,21,21,21,0,855,1755
1751,3,3,,1,1,10,Zone,I_FORM,I_FORM,25,3,12:43,1,2,2,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,I_FORM,Zone,85.0,TB,ATL,10,28,10,28,-18,763,1663
1752,14,14,,1,1,10,Zone,I_FORM,I_FORM,36,3,11:39,1,2,2,4,3,4,7.0,0,0,0,0,0,0,0,0,0,1,0,ATL,I_FORM,Zone,74.0,TB,ATL,10,28,10,28,-18,699,1599
1753,0,0,,0,1,10,Zone,SINGLEBACK,SINGLEBACK,50,3,11:04,1,2,2,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,60.0,TB,ATL,10,28,10,28,-18,664,1564
1754,4,4,,1,2,10,Zone,SHOTGUN,SHOTGUN,50,3,11:00,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,60.0,TB,ATL,10,28,10,28,-18,660,1560
1755,23,23,,1,3,6,Zone,SHOTGUN,SHOTGUN,46,3,10:28,1,2,2,3,3,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,56.0,TB,ATL,10,28,10,28,-18,628,1528
1756,0,0,,0,2,8,Zone,SHOTGUN,SHOTGUN,21,3,09:28,1,3,1,4,3,4,7.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,31.0,TB,ATL,10,28,10,28,-18,568,1468
1757,12,12,,1,3,8,Zone,SHOTGUN,SHOTGUN,21,3,09:24,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,31.0,TB,ATL,10,28,10,28,-18,564,1464
1758,8,8,,1,1,9,Other,EMPTY,EMPTY,9,3,08:39,1,2,2,4,3,4,6.0,0,0,0,0,0,0,0,0,0,0,1,ATL,EMPTY,Other,19.0,TB,ATL,10,28,10,28,-18,519,1419
1759,7,7,,1,3,10,Other,PISTOL,PISTOL,10,3,07:21,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,0,1,ATL,PISTOL,Other,20.0,TB,ATL,10,28,10,28,-18,441,1341
1760,3,3,,1,4,3,Man,SHOTGUN,SHOTGUN,3,3,06:40,1,1,3,3,3,5,7.0,0,0,1,0,0,0,0,0,0,0,0,ATL,SHOTGUN,Man,13.0,TB,ATL,10,28,10,28,-18,400,1300
1761,0,0,,0,2,12,Zone,SHOTGUN,SHOTGUN,21,3,05:59,1,0,4,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,31.0,TB,ATL,17,28,28,28,0,359,1259
1763,0,0,,0,2,7,Zone,SHOTGUN,SHOTGUN,43,3,03:46,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,53.0,TB,ATL,17,28,17,28,-11,226,1126
1764,22,22,,1,3,7,Zone,SHOTGUN,SHOTGUN,43,3,03:42,1,1,3,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,53.0,TB,ATL,17,28,17,28,-11,222,1122
1765,7,7,,1,1,7,Other,SHOTGUN,SHOTGUN,7,3,01:53,1,2,2,3,3,5,6.0,0,0,0,0,0,0,0,0,0,0,1,ATL,SHOTGUN,Other,17.0,TB,ATL,17,28,17,28,-11,113,1013
1766,9,9,,1,1,10,Zone,I_FORM,I_FORM,32,3,01:37,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,I_FORM,Zone,42.0,TB,ATL,25,28,28,28,0,97,997
1767,0,0,,0,1,20,Man,SINGLEBACK,SINGLEBACK,36,4,14:34,1,2,2,3,4,4,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,SINGLEBACK,Man,74.0,TB,ATL,25,28,28,28,0,874,874
1769,8,8,,1,1,10,Zone,I_FORM,I_FORM,4,4,13:04,1,3,1,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,I_FORM,Zone,14.0,TB,ATL,25,28,25,28,-3,784,784
1770,1,1,,1,2,2,Zone,SHOTGUN,SHOTGUN,12,4,12:22,1,2,2,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,22.0,TB,ATL,25,28,25,28,-3,742,742
1771,5,5,,1,1,10,Zone,I_FORM,I_FORM,17,4,10:05,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,I_FORM,Zone,27.0,TB,ATL,25,28,28,28,0,605,605
1772,12,12,,1,2,5,Man,SHOTGUN,SHOTGUN,12,4,09:24,1,1,3,2,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,22.0,TB,ATL,25,28,28,28,0,564,564
1773,4,4,,1,2,8,Zone,SINGLEBACK,SINGLEBACK,27,4,08:51,1,2,2,3,3,5,8.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,37.0,TB,ATL,25,35,25,35,-10,531,531
1774,0,0,,0,3,4,Zone,SHOTGUN,SHOTGUN,31,4,08:02,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,41.0,TB,ATL,25,35,25,35,-10,482,482
1775,10,10,,1,1,10,Zone,PISTOL,PISTOL,25,4,07:53,1,2,2,3,3,5,6.0,0,0,0,0,0,0,1,0,0,0,0,ATL,PISTOL,Zone,35.0,TB,ATL,25,41,25,41,-16,473,473
1776,2,2,,1,2,9,Zone,SHOTGUN,SHOTGUN,36,4,06:50,1,1,3,3,3,5,5.0,0,0,0,0,0,0,1,0,0,0,0,ATL,SHOTGUN,Zone,46.0,TB,ATL,25,41,25,41,-16,410,410
1777,6,6,,1,3,7,Zone,SHOTGUN,SHOTGUN,38,4,06:25,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,48.0,TB,ATL,25,41,25,41,-16,385,385
1778,0,0,,0,4,1,Zone,SHOTGUN,SHOTGUN,44,4,05:43,1,1,3,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,54.0,TB,ATL,25,41,25,41,-16,343,343
1779,0,0,,0,2,7,Zone,SINGLEBACK,SINGLEBACK,40,4,05:04,1,2,2,3,4,4,8.0,0,0,0,0,0,1,0,0,0,0,0,TB,SINGLEBACK,Zone,50.0,TB,ATL,25,41,41,41,0,304,304
1780,6,6,,1,3,7,Man,SHOTGUN,SHOTGUN,40,4,05:00,1,1,3,2,4,5,5.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,50.0,TB,ATL,25,41,41,41,0,300,300
1781,0,0,,0,2,10,Zone,SINGLEBACK,SINGLEBACK,45,4,02:08,0,2,3,2,4,5,8.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,55.0,TB,ATL,25,48,25,48,-23,128,128
1782,0,0,,0,4,7,Zone,SHOTGUN,SHOTGUN,48,4,02:00,0,2,3,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,58.0,TB,ATL,25,48,25,48,-23,120,120
1783,6,6,,1,2,9,Zone,SHOTGUN,SHOTGUN,23,1,14:19,2,1,2,3,3,5,7.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,87.0,LAC,DAL,0,0,0,0,0,859,1759
1784,7,7,,1,1,10,Man,SHOTGUN,SHOTGUN,39,1,13:12,1,1,3,3,3,5,7.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,71.0,LAC,DAL,0,0,0,0,0,792,1692
1785,6,6,,1,2,7,Zone,SHOTGUN,SHOTGUN,45,1,11:20,1,1,3,3,3,5,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,55.0,LAC,DAL,0,0,0,0,0,680,1580
1786,20,20,,1,2,12,Zone,SHOTGUN,SHOTGUN,36,1,09:46,1,1,3,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,46.0,LAC,DAL,0,0,0,0,0,586,1486
1787,0,0,,0,2,5,Other,SHOTGUN,SHOTGUN,11,1,08:44,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,0,1,DAL,SHOTGUN,Other,21.0,LAC,DAL,0,0,0,0,0,524,1424
1788,7,7,,1,3,5,Man,EMPTY,EMPTY,11,1,08:40,1,1,3,3,3,5,5.0,0,0,0,1,0,0,0,0,0,0,0,DAL,EMPTY,Man,21.0,LAC,DAL,0,0,0,0,0,520,1420
1789,22,22,,1,1,10,Zone,EMPTY,EMPTY,45,1,07:35,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,LAC,EMPTY,Zone,55.0,LAC,DAL,7,0,0,0,0,455,1355
1790,0,0,,0,1,10,Man,I_FORM,I_FORM,33,1,07:06,1,1,3,3,3,5,7.0,0,0,0,1,0,0,0,0,0,0,0,LAC,I_FORM,Man,77.0,LAC,DAL,7,0,0,0,0,426,1326
1791,17,17,,1,1,10,Zone,SHOTGUN,SHOTGUN,20,1,07:00,1,2,2,4,3,4,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,90.0,LAC,DAL,7,0,7,0,7,420,1320
1792,0,0,,0,2,2,Zone,SINGLEBACK,SINGLEBACK,45,1,06:09,1,2,2,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SINGLEBACK,Zone,65.0,LAC,DAL,7,0,7,0,7,369,1269
1793,7,7,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,34,1,05:34,1,2,2,3,3,5,8.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SINGLEBACK,Zone,76.0,LAC,DAL,7,0,0,0,0,334,1234
1794,12,12,,1,2,4,Zone,SHOTGUN,SHOTGUN,47,1,02:36,1,2,2,3,3,5,7.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,63.0,LAC,DAL,7,3,7,3,4,156,1056
1795,10,10,,1,1,10,Zone,SHOTGUN,SHOTGUN,28,1,01:42,1,2,2,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,38.0,LAC,DAL,7,3,7,3,4,102,1002
1796,13,13,,1,1,10,Zone,SHOTGUN,SHOTGUN,18,1,01:06,1,2,2,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,28.0,LAC,DAL,7,3,7,3,4,66,966
1797,5,5,,1,1,15,Zone,SINGLEBACK,SINGLEBACK,36,2,15:00,1,1,3,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SINGLEBACK,Zone,74.0,LAC,DAL,14,3,3,3,0,900,900
1798,-2,-2,,1,2,9,Zone,SHOTGUN,SHOTGUN,46,2,13:07,1,2,2,3,3,5,8.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SHOTGUN,Zone,56.0,LAC,DAL,14,3,3,3,0,787,787
1799,12,12,,1,3,11,Zone,SHOTGUN,SHOTGUN,48,2,12:26,1,1,3,3,3,5,7.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,58.0,LAC,DAL,14,3,3,3,0,746,746
1800,9,9,,1,1,20,Zone,SHOTGUN,SHOTGUN,46,2,11:35,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SHOTGUN,Zone,56.0,LAC,DAL,14,3,3,3,0,695,695
1801,5,5,,1,1,10,Zone,SHOTGUN,SHOTGUN,23,2,09:43,1,1,3,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,33.0,LAC,DAL,14,11,14,11,3,583,583
1802,16,16,,1,2,6,Zone,SINGLEBACK,SINGLEBACK,38,2,07:55,1,1,3,3,3,5,8.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SINGLEBACK,Zone,48.0,LAC,DAL,14,11,14,11,3,475,475
1803,10,10,,1,3,15,Man,SHOTGUN,SHOTGUN,49,2,05:38,1,1,3,3,2,6,5.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,59.0,LAC,DAL,14,11,14,11,3,338,338
1804,0,0,,0,4,5,Man,SHOTGUN,SHOTGUN,41,2,04:58,1,1,3,3,2,6,5.0,1,0,0,0,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,69.0,LAC,DAL,14,11,14,11,3,298,298
1805,14,14,,1,2,9,Zone,SHOTGUN,SHOTGUN,42,2,04:17,1,1,3,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,LAC,SHOTGUN,Zone,68.0,LAC,DAL,14,11,11,11,0,257,257
1806,-1,-1,,1,2,12,Zone,SHOTGUN,SHOTGUN,46,2,02:46,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,56.0,LAC,DAL,14,11,11,11,0,166,166
1808,6,6,,1,1,20,Zone,SHOTGUN,SHOTGUN,49,2,01:47,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,59.0,LAC,DAL,14,11,11,11,0,107,107
1809,10,10,,1,2,14,Zone,EMPTY,EMPTY,43,2,01:13,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,LAC,EMPTY,Zone,53.0,LAC,DAL,14,11,11,11,0,73,73
1811,7,7,,1,1,10,Zone,EMPTY,EMPTY,28,2,00:25,1,1,3,4,2,5,5.0,0,0,0,0,0,0,0,0,0,1,0,LAC,EMPTY,Zone,38.0,LAC,DAL,14,11,11,11,0,25,25
1812,0,0,,0,2,8,Zone,EMPTY,EMPTY,26,2,00:17,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,EMPTY,Zone,36.0,LAC,DAL,14,11,11,11,0,17,17
1813,0,0,,0,3,8,Zone,SHOTGUN,SHOTGUN,26,2,00:11,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,36.0,LAC,DAL,14,11,11,11,0,11,11
1814,8,8,,1,2,9,Zone,SHOTGUN,SHOTGUN,26,3,14:22,2,1,2,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,84.0,LAC,DAL,14,11,11,11,0,862,1762
1815,0,0,,0,2,15,Zone,SHOTGUN,SHOTGUN,32,3,12:36,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,78.0,LAC,DAL,14,11,11,11,0,756,1656
1816,42,42,,1,3,15,Man,EMPTY,EMPTY,32,3,12:32,1,1,3,3,3,5,6.0,1,0,0,0,0,0,0,0,0,0,0,LAC,EMPTY,Man,78.0,LAC,DAL,14,11,11,11,0,752,1652
1817,8,8,,1,1,10,Zone,I_FORM,I_FORM,26,3,12:00,1,2,2,4,2,5,7.0,0,0,0,0,0,0,1,0,0,0,0,LAC,I_FORM,Zone,36.0,LAC,DAL,14,11,11,11,0,720,1620
1818,-2,-2,,1,1,10,Zone,SHOTGUN,SHOTGUN,13,3,10:44,1,2,2,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,23.0,LAC,DAL,14,11,11,11,0,644,1544
1819,0,0,,0,3,11,Zone,EMPTY,EMPTY,14,3,09:31,0,1,4,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,LAC,EMPTY,Zone,24.0,LAC,DAL,14,11,11,11,0,571,1471
1820,4,4,,1,2,4,Zone,SHOTGUN,SHOTGUN,31,3,08:53,1,1,3,4,2,5,7.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,41.0,LAC,DAL,14,14,14,14,0,533,1433
1822,5,5,,1,2,1,Zone,SHOTGUN,SHOTGUN,18,3,04:26,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SHOTGUN,Zone,92.0,LAC,DAL,14,14,14,14,0,266,1166
1823,7,7,,1,1,10,Man,SINGLEBACK,SINGLEBACK,23,3,03:47,1,2,2,4,2,5,8.0,0,0,0,1,0,0,0,0,0,0,0,LAC,SINGLEBACK,Man,87.0,LAC,DAL,14,14,14,14,0,227,1127
1824,0,0,,0,2,5,Man,SINGLEBACK,SINGLEBACK,40,3,02:29,1,2,2,3,3,5,7.0,0,0,0,1,0,0,0,0,0,0,0,LAC,SINGLEBACK,Man,70.0,LAC,DAL,14,14,14,14,0,149,1049
1825,16,16,,1,3,5,Zone,SHOTGUN,SHOTGUN,40,3,02:23,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SHOTGUN,Zone,70.0,LAC,DAL,14,14,14,14,0,143,1043
1826,4,4,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,13,3,00:57,1,1,3,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SINGLEBACK,Zone,23.0,LAC,DAL,14,14,14,14,0,57,957
1827,0,0,,0,2,6,Man,SHOTGUN,SHOTGUN,9,3,00:14,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,LAC,SHOTGUN,Man,19.0,LAC,DAL,14,14,14,14,0,14,914
1828,0,0,,0,3,6,Other,EMPTY,EMPTY,9,3,00:10,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,0,1,LAC,EMPTY,Other,19.0,LAC,DAL,14,14,14,14,0,10,910
1829,11,11,,1,3,6,Zone,SHOTGUN,SHOTGUN,22,4,12:44,1,1,3,3,2,6,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,32.0,LAC,DAL,14,14,14,14,0,764,764
1830,0,0,,0,2,9,Other,SHOTGUN,SHOTGUN,10,4,11:27,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,0,1,DAL,SHOTGUN,Other,20.0,LAC,DAL,14,14,14,14,0,687,687
1832,2,2,,1,1,10,Man,SHOTGUN,SHOTGUN,37,4,09:23,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,LAC,SHOTGUN,Man,47.0,LAC,DAL,17,14,14,14,0,563,563
1833,15,15,,1,2,8,Zone,SHOTGUN,SHOTGUN,39,4,08:44,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,LAC,SHOTGUN,Zone,49.0,LAC,DAL,17,14,14,14,0,524,524
1835,0,0,,0,1,7,Man,SHOTGUN,SHOTGUN,7,4,05:39,1,1,3,3,3,5,6.0,0,0,0,1,0,0,0,0,0,0,0,LAC,SHOTGUN,Man,103.0,LAC,DAL,17,14,14,14,0,339,339
1837,14,14,,1,3,25,Zone,SHOTGUN,SHOTGUN,25,4,04:43,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,LAC,SHOTGUN,Zone,85.0,LAC,DAL,17,14,14,14,0,283,283
1838,7,7,,1,2,11,Zone,SHOTGUN,SHOTGUN,12,4,03:07,1,1,3,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,98.0,LAC,DAL,17,17,17,17,0,187,187
1839,7,7,,1,3,4,Zone,EMPTY,EMPTY,19,4,02:34,1,1,3,3,3,5,5.0,0,0,0,0,0,0,1,0,0,0,0,DAL,EMPTY,Zone,91.0,LAC,DAL,17,17,17,17,0,154,154
1840,5,5,,1,1,10,Zone,SHOTGUN,SHOTGUN,38,4,01:04,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,72.0,LAC,DAL,17,17,17,17,0,64,64
1841,12,12,,1,2,5,Zone,SHOTGUN,SHOTGUN,43,4,00:46,1,1,3,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,67.0,LAC,DAL,17,17,17,17,0,46,46
1842,4,4,,1,1,10,Man,SHOTGUN,SHOTGUN,45,4,00:36,1,1,3,2,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,55.0,LAC,DAL,17,17,17,17,0,36,36
1843,0,0,,0,2,8,Zone,EMPTY,EMPTY,27,1,14:33,1,2,2,3,4,4,5.0,0,0,0,0,0,0,0,0,0,1,0,SEA,EMPTY,Zone,37.0,SEA,TEN,0,0,0,0,0,873,1773
1845,10,10,,1,3,11,Zone,SHOTGUN,SHOTGUN,19,1,12:21,1,1,3,2,4,5,5.0,0,0,0,0,0,0,0,0,0,1,0,TEN,SHOTGUN,Zone,91.0,SEA,TEN,0,0,0,0,0,741,1641
1846,51,51,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,30,1,11:23,1,2,2,3,4,4,7.0,0,0,0,0,0,0,0,0,0,1,0,SEA,SINGLEBACK,Zone,40.0,SEA,TEN,0,0,0,0,0,683,1583
1847,0,0,,0,3,4,Man,SHOTGUN,SHOTGUN,13,1,09:38,1,1,3,2,3,6,6.0,0,0,0,1,0,0,0,0,0,0,0,SEA,SHOTGUN,Man,97.0,SEA,TEN,0,0,0,0,0,578,1478
1848,6,6,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,15,1,09:21,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SINGLEBACK,Zone,95.0,SEA,TEN,0,3,0,3,-3,561,1461
1849,0,0,,0,1,10,Zone,SINGLEBACK,SINGLEBACK,28,1,07:38,1,2,2,4,3,4,8.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SINGLEBACK,Zone,82.0,SEA,TEN,0,3,0,3,-3,458,1358
1850,14,14,,1,3,3,Zone,SHOTGUN,SHOTGUN,35,1,06:50,1,1,3,3,3,5,6.0,0,0,0,0,0,0,1,0,0,0,0,TEN,SHOTGUN,Zone,75.0,SEA,TEN,0,3,0,3,-3,410,1310
1851,13,13,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,49,1,06:13,1,2,2,4,3,4,8.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SINGLEBACK,Zone,61.0,SEA,TEN,0,3,0,3,-3,373,1273
1852,5,5,,1,2,10,Zone,SHOTGUN,SHOTGUN,38,1,04:47,1,1,3,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SHOTGUN,Zone,48.0,SEA,TEN,0,3,0,3,-3,287,1187
1853,17,17,,1,3,5,Zone,SHOTGUN,SHOTGUN,33,1,04:09,1,1,3,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SHOTGUN,Zone,43.0,SEA,TEN,0,3,0,3,-3,249,1149
1854,0,0,,0,2,9,Zone,SHOTGUN,SHOTGUN,15,1,03:01,1,1,3,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SHOTGUN,Zone,25.0,SEA,TEN,0,3,0,3,-3,181,1081
1855,0,0,,0,3,9,Man,SHOTGUN,SHOTGUN,15,1,02:55,1,1,3,2,4,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TEN,SHOTGUN,Man,25.0,SEA,TEN,0,3,0,3,-3,175,1075
1856,9,9,,1,3,6,Zone,SHOTGUN,SHOTGUN,29,1,01:30,1,1,3,2,3,6,6.0,0,0,0,0,1,0,0,0,0,0,0,SEA,SHOTGUN,Zone,39.0,SEA,TEN,3,3,3,3,0,90,990
1857,4,4,,1,2,8,Zone,SHOTGUN,SHOTGUN,40,1,00:10,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,SEA,SHOTGUN,Zone,50.0,SEA,TEN,3,3,3,3,0,10,910
1858,0,0,,0,3,4,Man,SHOTGUN,SHOTGUN,44,2,15:00,1,1,3,2,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,SEA,SHOTGUN,Man,66.0,SEA,TEN,3,3,3,3,0,900,900
1861,51,51,,1,2,6,Zone,SINGLEBACK,SINGLEBACK,24,2,12:10,1,2,2,4,3,4,8.0,0,0,0,0,0,1,0,0,0,0,0,TEN,SINGLEBACK,Zone,34.0,SEA,TEN,3,3,3,3,0,730,730
